name,uri
Tom Johnston,77vFMS6JGC1VvpBh60OCRr
Sugarhill Gang,7zliF6Q946WznVk3ZMYhZX
Steve Forbert,3oAbjWINfcTSAuVUlXXMty
The Boomtown Rats,40oYPr305MsT2lsiXr9fX9
Utopia,4oAZA3aniPjL9XINSvj7VP
Felix Cavaliere,74wxdlP4utkNZrtAL0mKrQ
Charlie Dore,5rWIUjXLlUngm23tFkNs7Z
Lipps Inc.,0lwRI7lvmlRY5DiA5Xa6wQ
Bernadette Peters,1lIG8lqWxus7LqThGUXMa1
Gary Numan,5KQMtyPE8DCQNUzoNqlEsE
Bruce Cockburn,4sh4MHP7lhrSUakxwZzwqz
Spider,6P7kkhED6EPrfoZuxz20Fo
Rodney Crowell,4QIJ2i8I6urte2scKgkVoY
Robbie Dupree,3jrgftS3TYbNxcPt5itKhz
Change,0mnruuV4CcKu7Ux7kBZ5sa
Rocky Burnette,6JGUkLiRAWMNYaHdUCIUvC
S.O.S. Band,6ucSqPKWD0QdphhjNrVnUf
Ali Thomson,57BUG40Gg14VfiPiK9KedB
Benny Mardones,6ZalUpnU8HaHSjROM92Txw
Johnny Lee,45rAZqRt5nUUMatQzk8qJu
Larry Graham,6lUcc15t11bnaPr2qOuFs2
Amy Holland,14cTO4S2dPhz4XuVEMMX3v
Larsen-Feiten Band,614GyAJSc7xbA6oYTvTLsB
Devo,1d4uM0g9449nE9TV5KeWch
Jimmy Hall,2LorJQEiLTxNDsJ3jVrQNi
The Vapors,4K3NWDwBIxgktui14SccR2
Don Williams,4Ti0EKl2PVEms2NRMVGqNe
The Korgis,69zRcOlNdSZ17VfIZe4VU3
Delbert McClinton,3Ri72CuuQSCLLkDRJgniFU
Tierra,4JqzwqRUOCEHeIVRDWG5Jv
Donnie Iris,4kveDT8ylFciq1mdeYcIvw
Phil Seymour,2ut1VNKTLERpjYf2uljNWn
Yarbrough & Peoples,0rJcrQfLLtWSJAKbZPk6NV
Terri Gibbs,53I5L1MaOYGfbRM1uZ80xg
"Grover Washington, Jr.",05YVYeV4HxYp5rrWalvuE1
John O'Banion,3q143cJhNgGc8GUqJKOzcZ
Get Wet,6PLYGa9KdPoZf4pwM1ym2l
Jesse Winchester,0LQrsY8CFvCyUAqAtiiVxw
Lee Ritenour,1nDqTUspmq8IXhcEZT93iq
Carole Bayer Sager,6yjU0SoX3vxPV7KoopXlWe
John Schneider,5dk1fnALF9pkgCllupjX2M
Frankie Smith,0CcGsPdBvdYS0JuxrTvTIF
Jim Steinman,2V3UNup4XHyqdCOGcQai1d
Robbie Patton,3miml2boHbHMz3dlMfsuBw
Point Blank,5Nz0G9zAjZVmIgqtGfHham
Silver Condor,29depPcBWPGMjwZeqJHbQi
Balance,2fgl3me4n9diODTrVfruF3
Diesel,1d4uM0g9449nE9TV5KeWch
Chris Christian,0XwVARXT135rw8lyw1EeWP
Chilliwack,3TkWygOTDBZXAdFDh9HOkG
The Plimsouls,7BnikuGfXRWkGLJCWS1y9P
Tommy Tutone,1n2LWYgwtGp7EzDapUoniE
Sneaker,1EJWNhiYbOyeUHbsS7Kp1P
Quarterflash,3VJakY5Yw5phAOF4Bada5v
Eddie Schwartz,6fJGQ0FutKyoxsQPP806wA
Skyy,1d1rh6BlGzeXaj67hVeDXe
Prism,0SxMFbx9jy8q9pGSJoopmf
Buckner and Garcia,3byVCnJiYgvRU7y5VsMHJI
Dr. Jeckyll & Mr. Hyde,7rxyGNqJCod2DVTBubSTyt
Josie Cotton,3cLCoFmTc8zHOP26agi4dC
Bertie Higgins,4qzZ6bMrjK27yHGVjs4Pvq
LeRoux,6055P8DekQCGx47sckcoIF
Junior,7Gi6gjaWy3DxyilpF1a8Is
Tom Tom Club,1m24736Bdew1oQVxTePOCo
Greg Guidry,7roC13N5Y9u1X6L95ngCqJ
Vangelis,4P70aqttdpJ9vuYFDmf7f6
Charlene,52o9SO5Qt09Vr9bDCbTbmu
Bow Wow Wow,7352aRY2mqSxBZwzUb6LmA
Aldo Nova,3jtTd1E9mBxYYU987s32Fm
Chéri,1c70yCa8sRgIiQxl3HOEFo
Rainbow,4hz8tIajF2INpgM0qzPJz2
Patrice Rushen,1mNnxxnPfHQDOkFjnZmdkc
Dazz Band,4n7L1vYXp4Dt0HfxaLBj9l
The Monroes,7GKYxdVAqmxv4ie9tTT28f
Soft Cell,6aq8T2RcspxVOGgMrTzjWc
Larry Elgart and His Manhattan Swing Orchestra,0R6Oa8qhUXdLRFL8Hiytgn
Eye to Eye,7omnn7IRrrxdMwSwchVxNP
The Waitresses,57AKOY1SF1062tuVzgAPv8
Karla Bonoff,1ZIMtrSe8sINPurERT4tRa
Leslie Pearl,3QckMzDoqCxIjwJJE1Prpl
Jennifer Holliday,2ju2ZxMe9yBOnt1MkWo32t
Marshall Crenshaw,73YLmyaazO66GncUVHP0KV
Frank Zappa,6ra4GIOgCZQZMOaUECftGN
Tane Cain,2FHGHF93kp2cFmJQijoVoq
A Flock of Seagulls,0uAjBatvB4ubpd4kCfjmNt
Sylvia,4Ej7Oks6loB2oJQ3O7Rujs
Donald Fagen,0S1SjYebdSaiMpI8xSW2Wb
Toni Basil,59hMeIYY3k3NoX54rrVGPv
The Weather Girls,19xz1vcuKNjniGEftTOSSH
Modern English,0fYPQBOx0vsRMmjUba9HgF
Moving Pictures,089zDeJWWSaHm6JE4V3ser
Pia Zadora,4xOk8sG1KBfhKhR4BOq7Mc
Musical Youth,2CuzDPkRD6BJBvdWqCrt2I
Saga,15MhssYzR2iVJ9M3dJtsqm
Vandenberg,3hAv15rFpsTe7zteKhhJTx
Rodney Dangerfield,4y9clGQlMhZyKADUMq7PA2
Frida,7sP4SQ0WY6jfps1I19Ot7i
Toto Coelo,6J9jWZeMO2D14IJEO1gbmr
Michael Sembello,771qBvjnXOH9Azr6lKy6FB
Dexys Midnight Runners,4QTVePrFu1xuGM9K0kNXkk
OXO,4AGwPDdh1y8hochNzHy5HC
After the Fire,194g4SFwSSzyPtgkH7v3Cx
Wall of Voodoo,6zPcUezmkw9aGjoRlBxYxw
Gary Portnoy,53U1IJqr6Hhmn53UcbgF7D
Patrick Simmons,1kZxI5FlVdFxgoRaiJ8hf0
Thomas Dolby,2Uz58cSxlJgefDaSikxYQ7
Naked Eyes,3C6chBmZ9wzisBhoh8G2nK
Jim Capaldi,1XIbUq7y7kiMUhmp5dywGx
Ebn Ozn,3pfQPrQ6DivllubZx7Zbrh
Eddy Grant,6j2HWcd7z61iTLbi8eD0hA
