name,uri
Los Del Rio,spotify:artist:3h88VTqRj3GbUd2W41ZY5U
Soft Cell,spotify:artist:6aq8T2RcspxVOGgMrTzjWc
Right Said Fred,spotify:artist:15ajdFAi5bjj5pS9laBfBL
Toni Basil,spotify:artist:59hMeIYY3k3NoX54rrVGPv
Baha Men,spotify:artist:67FFKYikvTlvsPNk4NPOYJ
Vanilla Ice,spotify:artist:7GXXMm3DB1VswVcuGyInUd
a-ha,spotify:artist:77tT1kLj6mCWtFNqiOmP9H
Gerardo,spotify:artist:4J13m9IZh03PEhoxAxRhXO
Nena,spotify:artist:6Tz0QRoe083BcOo2YbG9lV
Debby Boone,spotify:artist:1UkHCANZmdkKyVNvTLMrcJ
Sir Mix-A-Lot,spotify:artist:3TQ9JTBI2n2hfo7aRONEYV
Van McCoy,spotify:artist:0bShb58TO0fM5jOjXhB1WT
Deee-Lite,spotify:artist:4eQJIXFEujzhTVVS1gIfu5
? & The Mysterians,spotify:artist:3ZZHB1Xh2PM88QTMiqHB62
Sugarhill Gang,spotify:artist:7zliF6Q946WznVk3ZMYhZX
Twisted Sister,spotify:artist:7b85ve82Sh36a3UAx74wut
Sinead O'Connor,spotify:artist:4sD9znwiVFx9cgRPZ42aQ1
Iron Butterfly,spotify:artist:3cdvlbCYf4WoBdy89RWkNS
Thomas Dolby,spotify:artist:2Uz58cSxlJgefDaSikxYQ7
Gary Numan,spotify:artist:5KQMtyPE8DCQNUzoNqlEsE
Wild Cherry,spotify:artist:4apX9tIeHb85yPyy4F6FJG
K-Ci & JoJo,spotify:artist:05RZIdfz59ZW2FvFuwnmNK
Devo,spotify:artist:1d4uM0g9449nE9TV5KeWch
Kajagoogoo,spotify:artist:0f3kLT4wvi2mFHlHJgV8Hl
Suzi Quatro,spotify:artist:15jHZ1EZwmm2QDjKctvqJQ
M,spotify:artist:1ZwdS5xdxEREPySFridCfh
Musical Youth,spotify:artist:2CuzDPkRD6BJBvdWqCrt2I
Terry Jacks,spotify:artist:09dDdtfi4mWLdC2BHOrIrl
EMF,spotify:artist:6uxWOe8za52RuvwfuxM1aB
Buster Poindexter,spotify:artist:77GFTVwA0F6Ag1xtlYr0UA
Cheryl Lynn,spotify:artist:6UfoTQXaV3DuqtDVjZIxwZ
