title,artist,play_count,rank
Stacy's Mom,Fountains Of Wayne,"471,191,644",1
Hey Julie,Fountains Of Wayne,"27,147,005",2
Sink to the Bottom,Fountains Of Wayne,"10,141,480",3
Hackensack,Fountains Of Wayne,"8,814,291",4
Radiation Vibe,Fountains Of Wayne,"5,210,050",5
Mexican Wine,Fountains Of Wayne,"5,590,758",6
All Kinds Of Time,Fountains Of Wayne,"5,787,620",7
Bright Future In Sales,Fountains Of Wayne,"3,370,976",8
Denise,Fountains Of Wayne,"1,339,654",9
Someone To Love,Fountains Of Wayne,"2,097,462",10
Acurrucar,Los Pescadores Del Rio Conchos,"76,214,977",1
Vámonos a Marte,Los Pescadores Del Rio Conchos,"34,608,580",2
Maldita Soledad,Los Pescadores Del Rio Conchos,"4,328,597",3
Mi Forma de Sentir,Los Pescadores Del Rio Conchos,"12,352,100",4
Volvamos a Empezar,Los Pescadores Del Rio Conchos,"493,818",5
Voy a Conquistarte,Los Pescadores Del Rio Conchos,"16,551,175",6
Botecitos,Los Pescadores Del Rio Conchos,"953,836",7
Qué Bonito Fue,Los Pescadores Del Rio Conchos,"7,207,952",8
Que La Envidia Los Mate,Los Pescadores Del Rio Conchos,"405,254",9
Fuegos Artificiales,Los Pescadores Del Rio Conchos,"165,268",10
Tainted Love,Soft Cell,"835,786,290",1
Tainted Love / Where Did Our Love Go? - Extended Version,Soft Cell,"28,025,301",2
Where Did Our Love Go?,Soft Cell,"18,705,915",3
"Say Hello, Wave Goodbye - 7"" Single Version",Soft Cell,"23,708,565",4
Something's Gotten Hold of My Heart,Soft Cell,"18,017,796",5
Sex Dwarf,Soft Cell,"7,757,574",6
"Torch - Original 7"" Single Version",Soft Cell,"8,506,759",7
Purple Zone,Soft Cell,"2,307,450",8
Bedsitter,Soft Cell,"4,089,606",9
Tears Run Rings,Soft Cell,"1,776,413",10
Come On Eileen,Dexys Midnight Runners,"640,192,142",1
Come On Eileen - Single Edit,Dexys Midnight Runners,"185,212,442",2
Geno - 2000 Remaster,Dexys Midnight Runners,"23,743,581",3
Come On Eileen,Dexys Midnight Runners,"27,793,752",4
Jackie Wilson Said (I'm In Heaven When You Smile),Dexys Midnight Runners,"7,154,305",5
"The Celtic Soul Brothers (More, Please, Thank You)",Dexys Midnight Runners,"4,107,918",6
Seven Days Too Long - 2000 Remaster,Dexys Midnight Runners,"2,114,855",7
There There My Dear - 2000 Remaster,Dexys Midnight Runners,"2,022,316",8
Tell Me When My Light Turns Green - 2000 Remaster,Dexys Midnight Runners,"1,513,689",9
Let's Make This Precious,Dexys Midnight Runners,"1,084,936",10
I'm Too Sexy,Right Said Fred,"117,215,546",1
You're My Mate,Right Said Fred,"26,432,131",2
Stand Up for the Champions,Right Said Fred,"12,828,645",3
Stand Up For The Champions (feat. Max Kruse),Right Said Fred,"321,593",4
Don't Talk Just Kiss,Right Said Fred,"11,451,128",5
Deeply Dippy,Right Said Fred,"4,867,987",6
Don't Talk Just Kiss,Right Said Fred,"1,251,842",7
I'm Too Sexy - DeSchoWieda Karpool Mix,Right Said Fred,"760,491",8
Love Song,Right Said Fred,"478,938",9
I'm Too Sexy,Right Said Fred,"34,496",10
Hey Mickey,Toni Basil,"15,364,347",1
Mickey - Spanish Version,Toni Basil,"565,446",2
Mickey - Xtra & Remastered,Toni Basil,"105,990",3
Girls Night Out,Toni Basil,"121,165",4
Mickey - Take It Like A Man Mix,Toni Basil,"17,339",5
Shoppin' A-Z,Toni Basil,"29,575",6
Wham! Re-Bop - Live,Toni Basil,"10,121",7
Who Let The Dogs Out,Baha Men,"149,760,985",8
Best Years Of Our Lives,Baha Men,"9,722,506",9
Move It Like This,Baha Men,"3,956,103",10
Holla,Baha Men,"2,593,431",1
Who Let the Dogs Out,Baha Men,"2,264,223",2
You All Dat,Baha Men,"1,189,983",3
Dancing in the Moonlight,Baha Men,"340,615",4
Get Ya Party On,Baha Men,"707,819",5
Crocodile Rock - Film Version,Baha Men,"745,746",6
Getting Hotter,Baha Men,"408,757",7
Ice Ice Baby,Vanilla Ice,"319,137,495",8
Ice Ice Baby,Vanilla Ice,"97,042,175",9
Ninja Rap,Vanilla Ice,"9,933,602",10
Ice Ice Baby - Radio Edit,Vanilla Ice,"18,753,880",1
Play That Funky Music,Vanilla Ice,"4,424,514",2
Ride the Horse,Vanilla Ice,"2,815,363",3
Ice Ice Baby,Vanilla Ice,"1,026,480",4
Jump Around,Vanilla Ice,"1,053,208",5
Hooked,Vanilla Ice,"941,698",6
Insane In The Brain,Vanilla Ice,"990,537",7
Rich Girl,Daryl Hall & John Oates,"705,746,088",8
You Make My Dreams (Come True),Daryl Hall & John Oates,"1,053,887,696",9
Maneater,Daryl Hall & John Oates,"675,000,169",10
Out of Touch,Daryl Hall & John Oates,"200,136,514",1
Sara Smile,Daryl Hall & John Oates,"163,857,414",2
Private Eyes,Daryl Hall & John Oates,"125,198,243",3
I Can't Go for That (No Can Do),Daryl Hall & John Oates,"145,977,300",4
She's Gone,Daryl Hall & John Oates,"113,894,672",5
Kiss on My List,Daryl Hall & John Oates,"94,399,779",6
One On One,Daryl Hall & John Oates,"25,069,716",7
La Ultima Sombra,Gerardo Ortiz,"74,934,663",8
Cara A La Muerte (En Vivo),Gerardo Ortiz,"67,169,988",9
Dámaso,Gerardo Ortiz,"164,367,329",10
Aquiles Afirmo,Gerardo Ortiz,"41,941,834",1
Quién Se Anima,Gerardo Ortiz,"151,497,656",2
El Mundo Es Tuyo (En Vivo),Gerardo Ortiz,"60,523,654",3
El Trokero Lokochon,Gerardo Ortiz,"45,447,132",4
Tranquilito,Gerardo Ortiz,"214,085,879",5
En Preparacion,Gerardo Ortiz,"52,604,368",6
Mañana Voy A Conquistarla,Gerardo Ortiz,"130,878,423",7
99 Luftballons,Nena,"455,216,729",8
Nur geträumt,Nena,"42,341,537",9
Strobo Pop,Nena,"51,851,825",10
99 Red Balloons (Club Mix),Nena,"80,203,253",1
Leuchtturm,Nena,"24,387,042",2
"Irgendwie, irgendwo, irgendwann (Special 12"" Dance Mix)",Nena,"19,118,969",3
Wunder gescheh'n,Nena,"8,734,809",4
Irgendwo,Nena,"15,717,373",5
La La Lu,Nena,"4,951,725",6
"Anyplace, Anywhere, Anytime (Special 12"" Dance Mix)",Nena,"4,289,039",7
You Light Up My Life,Debby Boone,"38,612,870",8
End Of The World,Debby Boone,"622,674",9
"Baby, I'm Yours",Debby Boone,"839,236",10
Hasta Manana,Debby Boone,"594,340",1
Everybody's Somebody's Fool,Debby Boone,"508,820",2
Micol's Theme,Debby Boone,"240,228",3
Are You On The Road To Lovin' Me Again,Debby Boone,"264,686",4
California,Debby Boone,"367,126",5
God Knows,Debby Boone,"111,221",6
When You're Loved,Debby Boone,"107,059",7
Baby Got Back,Sir Mix-A-Lot,"254,021,687",8
Ride,Sir Mix-A-Lot,"45,188,728",9
Bark Like You Want It,Sir Mix-A-Lot,"20,279,815",10
Posse On Broadway,Sir Mix-A-Lot,"21,808,224",1
Jump On It,Sir Mix-A-Lot,"15,379,695",2
Buttermilk Biscuits (Keep On Square Dancin'),Sir Mix-A-Lot,"7,690,068",3
My Hooptie,Sir Mix-A-Lot,"4,172,071",4
Swap Meet Louie,Sir Mix-A-Lot,"1,852,836",5
I Got Game,Sir Mix-A-Lot,"1,043,380",6
Put 'Em On The Glass,Sir Mix-A-Lot,"1,519,056",7
The Hustle - Original Mix,Van McCoy,"27,595,791",8
The Shuffle,Van McCoy,"2,550,285",9
The Hustle - Super Hustle Mix,Van McCoy,"1,809,289",10
Soul Cha Cha,Van McCoy,"1,046,731",1
Love Is The Answer,Van McCoy,"420,893",2
Love At First Sight,Van McCoy,"233,339",3
Keep On Hustlin',Van McCoy,"163,142",4
My Favorite Fantasy,Van McCoy,"117,241",5
Get Dancin,Van McCoy,"91,813",6
African Symphony,Van McCoy,"77,026",7
Groove Is in the Heart,Deee-Lite,"212,911,931",8
What Is Love?,Deee-Lite,"4,013,993",9
Deee-Lite Theme,Deee-Lite,"2,641,389",10
Good Beat,Deee-Lite,"2,311,847",1
Call Me,Deee-Lite,"2,536,038",2
Groove Is in the Heart - Meeting the Minds Mix,Deee-Lite,"1,717,114",3
Power of Love,Deee-Lite,"1,814,375",4
Runaway,Deee-Lite,"1,507,751",5
Apple Juice Kissing,Deee-Lite,"840,875",6
Groove Is in the Heart - Remix Version,Deee-Lite,"1,430,949",7
96 Tears,? & The Mysterians,"30,099,320",8
Up Side,? & The Mysterians,"799,513",9
Do You Feel It,? & The Mysterians,"276,084",10
"Can't Get Enough Of You, Baby",? & The Mysterians,"528,679",1
I Need Somebody,? & The Mysterians,"680,275",2
Smokes,? & The Mysterians,"248,309",3
Don't Tease Me,? & The Mysterians,"375,931",4
Stormy Monday,? & The Mysterians,"354,397",5
Ten O'clock,? & The Mysterians,"296,211",6
Hangin' On A String,? & The Mysterians,"121,409",7
Rapper's Delight,The Sugarhill Gang,"117,506,593",8
The Message,The Sugarhill Gang,"56,428,447",9
Rapper's Delight,The Sugarhill Gang,"41,658,571",10
Apache,The Sugarhill Gang,"30,118,162",1
Rapper's Delight - Long Version,The Sugarhill Gang,"6,461,187",2
Apache - 45 Version,The Sugarhill Gang,"7,773,764",3
8th Wonder,The Sugarhill Gang,"2,644,199",4
"Rapper's Delight - 7"" Single Version",The Sugarhill Gang,"2,663,718",5
