name,song
Tom Johnston,Savannah Nights (1980)[34][367]
Sugarhill Gang,Rapper's Delight (1980)[179][208]
Steve Forbert,Romeo's Tune (1980)[899][900]
The Boomtown Rats,I Don't Like Mondays (1980)[897][901][575]
Utopia,Set Me Free (1980)[902][859][903]
Felix Cavaliere,Only a Lonely Heart Sees (1980)[34][904]
Charlie Dore,Pilot of the Airwaves (1980)[905][906]
Lipps Inc.,Funkytown (1980)[105][897]
Bernadette Peters,Gee Whiz (1980)[907][64]
Gary Numan,Cars (1980)[908][909][903]
Bruce Cockburn,Wondering Where the Lions Are (1980)[910][299]
Spider,New Romance (It's a Mystery) (1980)[911][304]
Rodney Crowell,Ashes by Now (1980)[34][389]
Robbie Dupree,Steal Away (1980)[897][912]
Change,A Lover's Holiday (1980)[903][245]
Rocky Burnette,Tired of Toein' the Line (1980)[914][915][916]
S.O.S. Band,Take Your Time (Do It Right) (1980)[917][914]
Fred Knoblock,Why Not Me (1980)[918][919]
Ali Thomson,Take a Little Rhythm (1980)[521][919][920]
Benny Mardones,Into the Night (1980)[921][922][923]
Johnny Lee,Lookin' for Love (1980)[924][34]
Larry Graham,One in a Million You (1980)[925][34]
Amy Holland,How Do I Survive (1980)[926][130]
Larsen-Feiten Band,Who'll Be the Fool Tonight (1980)[927][399]
Devo,Whip It (1980)[928][929][897]
Jimmy Hall,I'm Happy That Love Has Found You (1980)[34][130]
Nielsen/Pearson,If You Should Sail (1980)[930][64]
Roger Daltrey,Without Your Love (1980)[931][34]
The Vapors,Turning Japanese (1980)[897][932][933]
Don Williams,I Believe in You (1980)[34][934]
The Korgis,Everybody's Got to Learn Sometime (1980)[935][936][937]
Delbert McClinton,Giving It Up for Your Love (1981)[938][936]
Tierra,Together (1981)[939][940]
Donnie Iris,Ah! Leah! (1981)[606][941]
Phil Seymour,Precious to Me (1981)[942][304]
Yarbrough & Peoples,Don't Stop The Music (1981)[943][939][944]
Terri Gibbs,Somebody's Knockin' (1981)[945][34]
"Grover Washington, Jr.",Just the Two of Us (1981)[200][946]
John O'Banion,Love You Like I Never Loved Before (1981)[947][948][64]
Get Wet,Just So Lonely (1981)[587][949]
Franke and the Knockouts,Sweetheart (1981)[950][951]
Jesse Winchester,Say What (1981)[952][247]
Lee Ritenour,Is It You (1981)[953][954][955]
Carole Bayer Sager,Stronger Than Before (1981)[956][337]
Roseanne Cash,Seven Year Ache (1981)[957][749]
Stanley Clarke & George Duke,Sweet Baby (1981)[958][959]
Joey Scarbury,Theme from The Greatest American Hero (Believe It or Not) (1981)[953][960]
John Schneider,It's Now or Never (1981)[34][961]
Frankie Smith,Double Dutch Bus (1981)[72][170]
Jim Steinman,Rock and Roll Dreams Come Through (1981)[942][42]
Robbie Patton,Don't Give It Up (1981)[34][64]
Red Rider,Lunatic Fringe (1981)[897][962]
Point Blank,Nicole (1981)[34][337]
Silver Condor,You Could Take My Heart Away (1981)[963][170][964]
Balance,Breaking Away (1981)[965][36]
The Afternoon Delights,General Hospi-Tale (1981)[966][949]
Diesel,Sausalito Summernight (1981)[389][967]
Chris Christian,"I Want You, I Need You (1981)[34][245]"
Chilliwack,"My Girl (Gone, Gone, Gone) (1981)[968][969]"
The Plimsouls,A Million Miles Away (1982)[10][970]
Tommy Tutone,867-5309/Jenny (1982)[306][897][971]
Sneaker,More Than Just the Two of Us (1982)[972][304][973]
Quarterflash,Harden My Heart (1982)[897][974]
Eddie Schwartz,All Our Tomorrows (1982)[34][304]
Skyy,Call Me (1982)[975][304]
Prism,Don't Let Him Know (1982)[34][337]
Buckner and Garcia,Pac-Man Fever (1982)[897][976]
Bob and Doug McKenzie,Take Off (1982)[977][34]
Dr. Jeckyll & Mr. Hyde,Genius Rap (1982)[978][979]
Josie Cotton,Johnny Are You Queer? (1982)[897][980]
Bertie Higgins,Key Largo (1982)[897][981][982][983]
LeRoux,Nobody Said It Was Easy (1982)[984][985][986]
Junior,Mama Used to Say (1982)[987][399][988]
Tom Tom Club,Genius of Love (1982)[897][989][990]
Greg Guidry,Goin' Down (1982)[991][984][992]
